#,CITY NAME,POPULATION,,,,
1,New York City,"8,175,133",,,,
2,Los Angeles,"3,971,883",,,,
3,Chicago,"2,720,546",,,,
4,Brooklyn,"2,300,664",,,,
5,Houston,"2,296,224",,,,
6,Queens,"2,272,771",,,,
7,Philadelphia,"1,567,442",,,,
8,Phoenix,"1,563,025",,,,
9,Manhattan,"1,487,536",,,,
10,San Antonio,"1,469,845",,,,
11,San Diego,"1,394,928",,,,
12,The Bronx,"1,385,108",,,,
13,Dallas,"1,300,092",,,,
14,San Jose,"1,026,908",,,,
15,Austin,"931,830",,,,
16,Jacksonville,"868,031",,,,
17,San Francisco,"864,816",,,,
18,Columbus,"850,106",,,,
19,Fort Worth,"833,319",,,,
20,Indianapolis,"829,718",,,,
21,Charlotte,"827,097",,,,
22,Seattle,"684,451",,,,
23,Denver,"682,545",,,,
24,El Paso,"681,124",,,,
25,Detroit,"677,116",,,,
26,Boston,"667,137",,,,
27,Memphis,"655,770",,,,
28,New South Memphis,"641,608",,,,
29,Portland,"632,309",,,,
30,Oklahoma City,"631,346",,,,
31,Las Vegas,"623,747",,,,
32,Baltimore,"621,849",,,,
33,"Washington, D.C.","601,723",,,,
34,Milwaukee,"600,155",,,,
35,South Boston,"571,281",,,,
36,Albuquerque,"559,121",,,,
37,Tucson,"531,641",,,,
38,Nashville,"530,852",,,,
39,Fresno,"520,052",,,,
40,Sacramento,"490,712",,,,
41,Kansas City,"475,378",,,,
42,Long Beach,"474,140",,,,
43,Mesa,"471,825",,,,
44,Staten Island,"468,730",,,,
45,Atlanta,"463,878",,,,
46,Colorado Springs,"456,568",,,,
47,Virginia Beach,"452,745",,,,
48,Raleigh,"451,066",,,,
49,Omaha,"443,885",,,,
50,Miami,"441,003",,,,
51,Oakland,"419,267",,,,
52,Minneapolis,"410,939",,,,
53,Tulsa,"403,505",,,,
54,Wichita,"389,965",,,,
55,New Orleans,"389,617",,,,
56,Arlington,"388,125",,,,
57,Cleveland,"388,072",,,,
58,Bakersfield,"373,640",,,,
59,Honolulu,"371,657",,,,
60,Tampa,"369,075",,,,
61,Aurora,"359,407",,,,
62,Anaheim,"350,742",,,,
63,West Raleigh,"338,759",,,,
64,Santa Ana,"335,400",,,,
65,Corpus Christi,"324,074",,,,
66,Riverside,"322,424",,,,
67,St. Louis,"315,685",,,,
68,Lexington-Fayette,"314,488",,,,
69,Stockton,"305,658",,,,
70,Pittsburgh,"304,391",,,,